,name,city,province
4675,Home2 Suites by Hilton AlbuquerqueDowntownUniversity,Albuquerque,NM
4676,SpringHill Suites Coeur dAlene,Coeur d'Alene,ID
4680,Aloft Dallas Downtown,Dallas,TX
4681,Mountainside Inn,Telluride,CO
4687,Fairfield Inn Suites Buffalo Airport,Buffalo,NY
4692,Ramada Naples,Naples,FL
4695,The Roosevelt Hotel,Seattle,WA
4698,The Bellevue Hotel,Philadelphia,PA
4710,Motel West Bend,Bend,OR
4711,Red Lion Inn Suites,Ontario,OR
4712,Knights Inn Pendleton,Pendleton,OR
4713,Element Las Vegas Summerlin,Las Vegas,NV
4715,Best Western Brentwood,Brentwood,TN
4716,Royal Pines Inn,Carlton,MN
4718,Waterfront Place Hotel,Morgantown,WV
4727,Comfort Inn Suites,Elk City,OK
4729,Seattle Pacific Hotel,Seattle,WA
4742,Best Western Capital Beltway,Lanham,MD
4744,Courtyard Lexington North,Lexington,KY
4750,Courtyard by Marriott Mechanicsburg Gym,Mechanicsburg,PA
4752,Wyndham Garden Baronne Plaza New Orleans,New Orleans,LA
4754,Hampton Inn Suites Dodge City,Dodge City,KS
4758,Aloft Atlanta Downtown,Atlanta,GA
4774,Hampton Inn Suites by Hilton Owensboro Downtown Waterfront,Owensboro,KY
4779,Fairview Inn Suites,Jonesboro,AR
4782,River Rock Hotel,Mountain Home,AR
4783,Holiday Inn Express Suites Arkadelphia - Caddo Valley,Arkadelphia,AR
4784,GrandStay Residential Suites Hotel Sheboygan,Sheboygan,WI
4796,Courtyard by Marriott Greenbelt,Greenbelt,MD
4797,Rittenhouse Motor Lodge,Cape Charles,VA
4799,La Quinta Inn Suites Weatherford,Weatherford,TX
4801,Hampton Inn Phoenix Anthem,Phoenix,AZ
4804,Chart House Suites On Clearwater Bay,Clearwater Beach,FL
4808,Fairfield Inn Suites Austin NorthwestResearch Blvd,Austin,TX
4809,Hard Rock Hotel Palm Springs,Palm Springs,CA
4811,Everett Street Guest House,Portland,OR
4816,Sunbeam Motel,San Luis Obispo,CA
4817,Sequoia Inn,Redwood City,CA
4824,Hampton Inn Suites Bend,Bend,OR
4825,John Day Motel,John Day,OR
4826,Hampton Inn-medford,Medford,OR
4827,Smith's Hotel,Columbia,PA
4828,Inn At Philipsburg,Philipsburg,MT
4831,Broadway Hotel,Philipsburg,MT
4835,Kalispell Grand Hotel,Kalispell,MT
4840,Kimberling Oaks Resort,Kimberling City,MO
4841,Marco Polo's @ The Viana Hotel & Spa,Westbury,NY
4842,Best Western Plus North Odessa Inn Suites,Odessa,TX
4843,Americas Best Value Inn Batesville,Batesville,MS
4846,Hampton Inn & Suites Grenada,Grenada,MS
4847,Siesta Motel,Havre,MT
4848,Best Western Grandma's Feather Bed,Juneau,AK
4849,Hilton Garden Inn Orlando Airport,Orlando,FL
4954,Fairfield Inn Scranton,Scranton,PA
4958,Ramada Frisco,Frisco,CO
4959,Residence Inn Mobile,Mobile,AL
4960,Best Western Country Inn,Temecula,CA
4961,Comfort Inn Suites Grinnell,Grinnell,IA
4962,Cliffs At Princeville,Princeville,HI
4963,The Blennerhassett Hotel,Parkersburg,WV
4967,Holiday Inn Ft LauderdaleAirport,Hollywood,FL
4970,Econo Lodge South,Petoskey,MI
4973,Aloft Houston by the Galleria,Houston,TX
4974,Historic Streetcar Inn,New Orleans,LA
4977,Vagabond Inn Sunnyvale,Sunnyvale,CA
4979,Hotel Rex San Francisco,San Francisco,CA
5006,One South Lumina,Wrightsville Beach,NC
5008,Hampton Inn Lancaster,Lancaster,OH
5010,Washington Jefferson Hotel,New York,NY
5011,Hotel Dylan,Woodstock,NY
5013,Loggerhead Inn,Holly Ridge,NC
5014,Oak Island Inn,Oak Island,NC
5017,Renwick Clifton House,Saugerties,NY
5019,Van Landingham Estate,Charlotte,NC
5020,Quincy Inn and Suites,Quincy,WA
5023,Sleep inn,Summerville,SC
5024,Residence Inn Springfield South,Springfield,IL
5028,Milwaukee Airport Inn,Milwaukee,WI
5031,Hampton Inn Easton,Easton,MD
5033,Aqua Waikiki Pearl,Honolulu,HI
5039,Holiday Inn Express Suites RichmondBrandermillHull St,Midlothian,VA
5047,Residence Inn Portland North Vancouver,Vancouver,WA
5050,Best Western Premier The Central Hotel Conference Center,Harrisburg,PA
5055,Courtyard San Antonio SeaWorld®Lackland,San Antonio,TX
5056,Hyundae Resort Spa,Desert Hot Springs,CA
5058,Best Western Plus Mid Nebraska Inn Suites,Kearney,NE
5063,Turner Falls Inn,Davis,OK
5065,Pear Tree Inn St Louis Airport,Saint Ann,MO
5068,Hilton Garden Inn St. Louis/Chesterfield,Chesterfield,MO
5070,Hampton Inn & Suites Pittsburgh/Waterfront-West Homestead,Homestead,PA
5071,Courtyard St. Louis Creve Coeur,Saint Louis,MO
5072,Best Western Garden Inn,Bentleyville,PA
5073,Mt Vernon Motel,Manheim,PA
5074,The Monte Vista Hotel,Black Mountain,NC
5075,Best Western Plus Lockport Hotel,Lockport,NY
5077,"The Lexington Hotel, Autograph Collection",New York,NY
5080,Holiday Inn Express Suites Foley,Foley,AL
5082,Signature Inn Abilene,Abilene,TX
5083,Refuge Inn,Chincoteague Island,VA
5087,Bedtime Inn,Ocean City,MD
5089,Marigot Beach Suites,Ocean City,MD
5091,Best Western Plus-concordville Hotel,Glen Mills,PA
5092,Prince Conti Hotel,New Orleans,LA
5093,Countryside Suites,Lincoln,NE
5094,Seaward Inn,Sneads Ferry,NC
5095,Budgethost Inn,South Sioux City,NE
5096,Budget Inn Motel,Herkimer,NY
5097,Sleepy Valley Inn,Warwick,NY
5099,Sunny Rest Lodge,Palmerton,PA
5102,State Street Mansion Bed and Breakfast,Albany,NY
5103,Bertram Inn & Conference Center,Aurora,OH
5106,Watertown Budget Inn,Watertown,NY
5107,Homewood Suites by Hilton Saratoga Springs,Saratoga Springs,NY
5109,Scottish Inns,Mocksville,NC
5110,Inn At Turning Stone Casino,Verona,NY
5111,Hampton Inn Texarkana Arkansas,Texarkana,AR
5113,Granzellas Inn,Williams,CA
5114,Newark Garden Hotel,Newark,NY
5118,Best Western Plus Lincoln Inn & Suites,Lincoln,NE
5119,Clarion Inn Suites-virginia Beach,Virginia Beach,VA
5124,Cliffside Resort Suites,Wisconsin Dells,WI
5125,Quality Inn Suites Oceanside Near Camp Pendleton,Oceanside,CA
5127,EVEN Hotel Brooklyn,Brooklyn,NY
5128,"The Ritz-Carlton New York, Central Park",New York,NY
5160,East Liverpool Motor Lodge,East Liverpool,OH
5161,Holiday Inn Express Grove City (Outlet Center),Mercer,PA
5162,Best Western Canal Winchester Inn - Columbus South East,Canal Winchester,OH
5164,Hampton Inn & Suites Ashland,Ashland,OH
5166,Best Western Plus Suites-Greenville,Greenville,NC
5168,Hampton Inn Wilkesboro,Wilkesboro,NC
5169,Washington Motel,Washington,NC
5170,Hampton Inn & Suites Holly Springs,Holly Springs,NC
5171,Best Western Plus University Inn,Olean,NY
5172,Americas Best Value Inn,North Platte,NE
5177,Best Western Dunkirk & Fredonia Inn,Dunkirk,NY
5179,The Rose & Thistle Bed & Breakfast,Cooperstown,NY
5181,Home2 Suites by Hilton Rock Hill,Rock Hill,SC
5182,Hampton Inn Portland East,Portland,OR
5186,Hampton Inn & Suites Raleigh/Crabtree Valley,Raleigh,NC
5188,Best Western Plus Downtown Tulsa/Route 66 Hotel,Tulsa,OK
5190,Briar Rose Inn,Vancouver,WA
5193,Homewood Suites by Hilton Concord Charlotte,Concord,NC
5197,Sonestaes Suites Charlotte,Charlotte,NC
5200,High Desert Motel,Joshua Tree,CA
5202,Best Inn Suites,Phoenix,AZ
5203,Hampton Inn Olive Branch,Olive Branch,MS
5206,Best Western Bowery Hanbee Hotel,New York,NY
5208,Bel-Aire Cove Motel,Hampton Bays,NY
5210,BEST WESTERN PLUS Greentree Inn & Suites,Oklahoma City,OK
5212,Best Western Alvin Inn,Alvin,TX
5214,Courtyard Ogden,Ogden,UT
5215,Hampton Inn Las Vegas North Speedway,North Las Vegas,NV
5220,The Westin Houston Memorial City,Houston,TX
5221,Grant Park Hotel,Atlanta,GA
5223,Baton Rouge Marriott,Baton Rouge,LA
5227,Hampton Inn Suites Crawfordsville,Crawfordsville,IN
5228,Hampton Inn GadsdenAttalla,Gadsden,AL
5232,Hyatt House DallasUptown,Dallas,TX
5248,Fairfield Inn,Avon,IN
5249,Sheraton Suites Orlando Airport,Orlando,FL
5298,Holiday Inn Express TulsaWoodland Hills,Tulsa,OK
5300,Best Western Plus Redondo Beach Inn,Redondo Beach,CA
5302,Best Western Corvallis,Corvallis,OR
5303,Comfort Suites University Area,South Bend,IN
5305,Hampton Inn Kalispell,Kalispell,MT
5307,Motel 6 Silver City,Silver City,NM
5308,Quality Inn & Suites Airport,El Paso,TX
5309,Best Western Mission Inn,Las Cruces,NM
5310,Four Points by Sheraton Manhattan SoHo Village,New York,NY
5315,Best Western Plus Rivershore Hotel,Oregon City,OR
5318,Comfort Inn Columbia Gorge Gateway,Troutdale,OR
5319,Best Western Anthony/West El Paso,Anthony,TX
5320,Best Western Plus Cascade Inn & Suites,Troutdale,OR
5329,Dollinger's Motel,Albion,NY
5330,Best Western Plus Woodland Hills Hotel & Suites,Tulsa,OK
5333,Tmi Hospitality,Bismarck,ND
5335,WoodSpring Suites Jackson South,Byram,MS
5336,Hampton Inn & Suites Columbus,Columbus,MS
5337,Simmons Suites,Bentonville,AR
5339,Hilton Garden Inn Oklahoma City Airport,Oklahoma City,OK
5343,Leeper's Motel,Lincoln,MT
5344,Best Western Plus Executive Suites,Albuquerque,NM
5348,Aloft Buffalo Airport,Buffalo,NY
5349,Days Inn MaumeeToledo,Maumee,OH
5350,Residence Inn Lexington South Hamburg Place,Lexington,KY
5352,Bar Noir,Beverly Hills,CA
5353,Best Western Plus River Escape Inn Suites,Dillsboro,NC
5355,Courtyard Orlando Lake Mary North,Lake Mary,FL
5356,Hampton Inn Suites Woodstock Va,Woodstock,VA
5362,Drury Inn Suites Phoenix Happy Valley,Phoenix,AZ
5375,Best Western Cabrillo Garden Inn,San Diego,CA
5398,Hampton Inn Suites Palestine,Palestine,TX
5423,Best Western Route 66 Rail Haven,Springfield,MO
5424,"My Place Hotel-Grand Forks, ND",Grand Forks,ND
5429,Hampton Inn Muskegon,Muskegon,MI
5430,The Nest Palo Alto,Palo Alto,CA
5431,Comfort Suites Bakersfield,Bakersfield,CA
5433,Best Western Plus Independence Inn Suites,Independence,IA
5435,Salt Creek Lodge,Idabel,OK
5436,Hampton Inn Suites Tampa Northwest Oldsmar,Oldsmar,FL
5438,Vagabond Hotel Miami,Miami,FL
5457,Motel Durango,Durango,CO
5461,Holiday Inn Express Suites Manhattan,Manhattan,KS
5463,Hampton Inn Suites Pauls Valley,Pauls Valley,OK
5464,Hilton Garden Inn Colorado Springs Airport,Colorado Springs,CO
5466,Hilton Garden Inn DallasMarket Center,Dallas,TX
5504,Best Western Kennesaw Inn,Kennesaw,GA
5506,Best Western River Terrace,Cheboygan,MI
5509,Courtyard Roseville,Roseville,CA
5511,Drury Inn Suites Birmingham Southeast,Birmingham,AL
5516,Days Inn Hotel Spencer IA,Spencer,IA
5517,Gaia Hotel Spa Redding an Ascend Hotel Collection Member,Anderson,CA
5518,Hyatt Place Indianapolis/keystone,Indianapolis,IN
5519,Cobblestone Hotel Suites-knoxville Ia,Knoxville,IA
5520,Budget Inn The Hiawassee,Hiawassee,GA
5521,Our Place Hotel,Nashville,GA
5523,Comfort Inn Atlanta Downtown South,Atlanta,GA
5529,Lifts West Condominium Hotel,Red River,NM
5530,Marriott's Grand Chateau,Las Vegas,NV
5533,The Lodge At Lolo Hot Springs,Lolo,MT
5534,Chase Suite Hotel Overland Park,Leawood,KS
5535,Northern Rail Traincar Inn,Two Harbors,MN
5537,Red Roof Plus+ Phoenix West,Phoenix,AZ
5538,Days Inn-buckeye,Buckeye,AZ
5539,Ocean Shores Motel,Ocean Shores,WA
5541,The Flagstone Motel,Port Angeles,WA
5542,Walsh Motel,Grayland,WA
5543,Willows Motel,Wilbur,WA
5545,Larkspur Landing Renton,Renton,WA
5547,Westport Inn,Westport,WA
5552,Moonstone Beach Motel,Moclips,WA
5557,Margaritaville Island Hotel,Pigeon Forge,TN
5559,Hilton Garden Inn-pigeon Forge,Pigeon Forge,TN
5564,Knights Inn-murfreesboro,Murfreesboro,TN
5565,Quality Inn-decherd,Decherd,TN
5566,Quality Inn-alcoa,Alcoa,TN
5567,Inn At Nye Beach,Newport,OR
5568,Cattlemen's Inn,Kingfisher,OK
5570,Americas Best Value Inn Texarkana,Texarkana,AR
5571,Hilton Garden Inn Miami Airport West,Miami,FL
5601,Motel 6 Atlanta Northwest - Marietta,Marietta,GA
5606,Boon Hotel & Spa,Guerneville,CA
5607,Fairfield Inn & Suites by Marriott Destin,Destin,FL
5618,Extended Stay America San Diego - Fashion Valley,San Diego,CA
5625,Americas Best Value Inn-La Crosse,La Crosse,WI
5627,Renaissance Atlanta Waverly Hotel & Convention Center,Atlanta,GA
5717,Best Western Eden Prairie Inn,Eden Prairie,MN
5718,Estancia La Jolla Hotel and Spa,La Jolla,CA
5792,All Seasons Resort,Kalkaska,MI
5793,Pacific View Inn,San Diego,CA
5804,BEST WESTERN El Rancho,Morro Bay,CA
5805,Best Western Plus French Quarter Landmark Hotel,New Orleans,LA
5905,Best Western Plus Hacienda Hotel Old Town,San Diego,CA
5969,Motel 6 Atlanta Tucker Northeast,Tucker,GA
5970,JW Marriott Atlanta Buckhead,Atlanta,GA
6081,Hilton Garden Inn Chicago/Oakbrook Terrace,Villa Park,IL
6082,High Country Lodge,South Lake Tahoe,CA
6083,Motel 6 Globe,Globe,AZ
6086,Best Western Mission Bay,San Diego,CA
6155,"The Ritz-Carlton, Atlanta",Atlanta,GA
6240,Fairfield Inn & Suites by Marriott Atlanta Buckhead,Atlanta,GA
6257,Vagabond Inn Fresno,Fresno,CA
6258,The Pearl Hotel,San Diego,CA
6329,Waikiki Resort Hotel,Honolulu,HI
6403,Four Points by Sheraton French Quarter,New Orleans,LA
6463,Fairfield Inn by Marriott Owensboro,Owensboro,KY
6469,M-Star Augusta,Augusta,GA
6470,Wattstull Inn,Buchanan,VA
6471,Appomattox Inn Suites,Appomattox,VA
6472,Chablis Inn,Napa,CA
6500,The Francisco Bay Inn,San Francisco,CA
6529,Worldmark New Braunfels,New Braunfels,TX
6530,Hotel Settles,Big Spring,TX
6532,Kai Aloha Apartment Hotel,Honolulu,HI
6533,Residence Inn By Marriott Denver Cherry Creek,Denver,CO
6534,Element Denver Park Meadows,Lone Tree,CO
6538,Mt Washington Conference Center,Baltimore,MD
6541,Hampton Inn Suites Indianapolis/brownsburg,Brownsburg,IN
6543,Comfort Suites-lombard,Lombard,IL
6544,Inn At Lincoln Park,Chicago,IL
6549,Quality Inn Midway Airport,Chicago,IL
6552,Moxy Chicago Downtown,Chicago,IL
6556,Smitty's On Snowbank,Ely,MN
6557,Clear Water Lakeshore Motel,Mackinaw City,MI
6558,Aloft Detroit At The David Whitney,Detroit,MI
6559,Indian Head Motel,Ironwood,MI
6560,Fairfield Inn Suites By Marriott Traverse City,Traverse City,MI
6561,Americas Best Value Inn-knoxville East-strawberry Plains,Knoxville,TN
6562,Ramada-franklin/cool Springs,Franklin,TN
6566,MainStay Suites,Chattanooga,TN
6567,Aloft Philadelphia Airport,Philadelphia,PA
6570,Microtel Inn Suites By Wyndham Caldwell,Caldwell,OH
6574,Hilton Garden Inn-akron,Akron,OH
6577,Comfort Suites-marietta,Marietta,OH
6578,White Sands Beach Resort,Bradenton Beach,FL
6581,Habitat Residence,Miami,FL
6610,Homewood Suites by Hilton Sacramento-Roseville,Roseville,CA
6612,Best Western Rose Garden Inn,Watsonville,CA
6613,Comfort Inn Humboldt Bay,Eureka,CA
6614,Best Western Inn,Rohnert Park,CA
6615,Motel 6 Salinas South - Monterey Area,Salinas,CA
6616,Best Western Yacht Harbor Hotel,San Diego,CA
6682,Pacific Terrace Hotel,San Diego,CA
6683,Best Western Plus Main Street Inn,Brawley,CA
6684,Holiday Inn Express & Suites Anaheim Resort Area,Anaheim,CA
6695,Best Western Orange Plaza,Orange,CA
6696,"Mandarin Oriental, Miami",Miami,FL
6802,Best Western Park Crest Inn,Monterey,CA
6804,Hilton Garden Inn Yuma Pivot Point,Yuma,AZ
6807,Hampton Inn & Suites Yuma,Yuma,AZ
6808,Best Western Plus Arroyo Roble Hotel & Creekside Villas,Sedona,AZ
6816,Ramada Limited San Francisco Airport North,South San Francisco,CA
6818,Courtyard Chapel Hill,Chapel Hill,NC
6823,Fairfield Inn Tulsa Woodland Hills,Tulsa,OK
6828,Four Points by Sheraton Orlando International Drive,Orlando,FL
6831,Holiday Inn Express Lompoc,Lompoc,CA
6832,Best Western Old Colony Inn,Alexandria,VA
6835,Motel 6 Tucson North,Tucson,AZ
6836,Best Western San Diego/Miramar Hotel,San Diego,CA
6901,Homewood Suites By Hilton Phoenix-biltmore,Phoenix,AZ
6903,Hampton Inn Chicago North-loyola Station,Chicago,IL
6904,Fairfield Inn Suites North Platte,North Platte,NE
6911,Best Western Plus Bayside Inn,San Diego,CA
6975,Wingate By Wyndham Round Rock Hotel Conference Center,Round Rock,TX
6978,Holiday On Texoma Motel,Pottsboro,TX
6979,Hampton Inn Roanoke/Hollins - I-81,Roanoke,VA
6980,Days Inn-Reading Wyomissing,Reading,PA
6985,"My Place Hotel-Brookings, SD",Brookings,SD
6986,Residence Inn By Marriott Phoenix Nw/surprise,Surprise,AZ
6988,Holiday Inn Express & Suites Sioux Falls Southwest,Sioux Falls,SD
6991,Days Inn-Altus,Altus,OK
6992,Best Western Plus Columbia River Inn,Cascade Locks,OR
6993,Holiday Inn Express New York City Times Square,New York,NY
7037,Colonial Inn Dyersville,Dyersville,IA
7039,Hilton Garden Inn San Diego Mission Valley/stadium,San Diego,CA
7074,Comfort Suites-old Town,Scottsdale,AZ
7075,Comfort Inn-green Valley,Green Valley,AZ
7076,Pioneer Lodge,Fort Benton,MT
7078,WoodSpring Suites Allentown,Allentown,PA
7081,Ponderosa Gardens Motel,Paradise,CA
7082,Hilton Garden Inn Los Angeles Montebello,Montebello,CA
7083,Juniper Springs Resort,Mammoth Lakes,CA
7084,Motel Etna,Etna,CA
7085,Fern River Resort Motel,Felton,CA
7086,Best Western Springfield,Springfield,VA
7088,Americas Best Value Inn Suites,Pinckneyville,IL
7091,Discovery Inn,Victoria,TX
7094,Deluxe 6 Inn Suites,Olmito,TX
7095,"Canyons Boutique Hotel, a Canyons Collection Property",Kanab,UT
7097,Super 8 Forney,Forney,TX
7098,Best Western Plus Bandana Square,Saint Paul,MN
7105,Super 8 Bloomington/Airport,Minneapolis,MN
7119,Hampton Inn Suites Duluth North/Mall Area,Duluth,MN
7120,Comfort Inn Suites West - Medical Center,Rochester,MN
7121,Larchmont Hotel,New York,NY
7122,Hotel Riverside Studios,New York,NY
7124,Microtel Inn & Suites By Wyndham Baton Rouge,Baton Rouge,LA
7127,Inn At Cannon Beach,Cannon Beach,OR
7128,Hampton Inn Newport NewsYorktown,Newport News,VA
7130,Best Western Palo Duro Canyon Inn Suites,Canyon,TX
7138,Hilton Garden Inn Grand Rapids East,Grand Rapids,MI
7140,Galt House Hotel,Louisville,KY
7153,Hilton Garden Inn San Diego Rancho Bernardo,San Diego,CA
7183,Hampton Inn Suites Little Rock-downtown,Little Rock,AR
7187,Orchid Key Inn,Key West,FL
7259,Sea Oats Motel,Destin,FL
7263,Hollander Hotel,Saint Petersburg,FL
7285,"Hotel Marshfield, BW Premier Collection",Marshfield,WI
7286,Super 8-Colorado City,Colorado City,TX
7287,Best Western Lee's Motor Inn,Chamberlain,SD
7288,Bullock Hotel,Deadwood,SD
7292,Hilton Garden Inn Tampa East/Brandon,Tampa,FL
7300,Best Western Lake Conroe Inn,Montgomery,TX
7302,Naples Courtyard Inn,Naples,FL
7307,Hampton Inn Suites Adairsville-Calhoun Area,Adairsville,GA
7308,Best Western Allatoona Inn Suites,Cartersville,GA
7309,Hampton Inn Cartersville,Cartersville,GA
7312,Ramada Metairie New Orleans Airport,Metairie,LA
7313,Dauphine Orleans Hotel,New Orleans,LA
7314,Hotel Bentley,Alexandria,LA
7318,Galleria Park Hotel,San Francisco,CA
7443,Motel 6 San Bernardino North,San Bernardino,CA
7446,Ka'anapali Beach Club,Lahaina,HI
7448,Welcome Home Inn Bed and Breakfast,Delaware,OH
7450,Riverside Tower Hotel,New York,NY
7452,Econo Lodge-sheboygan,Sheboygan,WI
7453,Residence Inn by Marriott Dallas Market Center,Dallas,TX
7469,Home2 Suites by Hilton Murfreesboro,Murfreesboro,TN
7470,Carolina Lodge,Orangeburg,SC
7471,Headrick's River Breeze Motel,Townsend,TN
7472,Aerostay Hotel,Sioux Falls,SD
7473,Best Western Plus Columbia North East,Columbia,SC
7476,Motel 6 Oakland Airport,Oakland,CA
7477,Best Way Inn,Seneca,SC
7478,Best Western Plus Rama Inn Suites,La Grande,OR
7479,Best Western Plus Gadsden Hotel Suites,Gadsden,AL
7482,Wingate by Wyndham Tuscaloosa,Tuscaloosa,AL
7485,Best Western Plus The Inn Suites at Muskogee,Muskogee,OK
7488,Days Inn-Gillette,Gillette,WY
7490,Charleston Plaza Hotel,Charleston,WV
7492,Econo Lodge Inn & Suites Carrollton Smithfield,Carrollton,VA
7493,Best Western Plus Abbey Inn,Saint George,UT
7545,Silver Baron Lodge,Park City,UT
7548,Comfort Inn Airport,Minneapolis,MN
7549,BEST WESTERN Inn Of Nacogdoches,Nacogdoches,TX
7550,"Home2 Suites by Hilton Salt Lake City / West Valley City, UT",West Valley City,UT
7553,Chalet Inn,Groom,TX
7554,Baymont Inn & Suites Amarillo East,Amarillo,TX
7556,Veranda House,Tullahoma,TN
7558,Ramada Oklahoma City Near Bricktown,Oklahoma City,OK
7561,Best Western Dutch Valley Inn,New Philadelphia,OH
7563,Chocolate Turtle Bed and Breakfast,Corrales,NM
7578,Best Western Mesquite Inn,Mesquite,NV
7582,Lakeview Motel & Cottage,Youngstown,NY
7583,Days Inn-Ku Lawrence,Lawrence,KS
7584,Best Western Intracoastal Inn,Jupiter,FL
7585,BEST WESTERN PLUS Gadsden Hotel & Suites,Gadsden,AL
7586,Sleep Inn & Suites,Evansville,WY
7588,Hampton Inn Potomac Mills/Woodbridge,Woodbridge,VA
7596,Best Western Ambassador Inn & Suites,Wisconsin Dells,WI
7604,Welcome Inn,Ripon,WI
7608,Super 8-Midland,Midland,TX
7609,Best Western Plus Skagit Valley Inn and Convention Center,Mount Vernon,WA
7615,Best Western Plus Southpark Inn & Suites,Tyler,TX
7618,Best Western Santa Fe,Amarillo,TX
7619,Best Western Plus Dallas Hotel & Conference Center,Dallas,TX
7630,Best Western Cityplace Inn,Dallas,TX
7644,Best Western Northwest Inn,Dallas,TX
7653,The Eleven Inn,Balmorhea,TX
7655,Courtyard by Marriott San Antonio Downtown/Market Square,San Antonio,TX
7656,Cub Motel,Cosby,TN
7658,Microtel Inn & Suites By Wyndham Shelbyville,Shelbyville,TN
7659,Key West Inn,Cookeville,TN
7660,Best Western Thunderbird Motel,Cookeville,TN
7664,Best Western Milwaukee West,Milwaukee,WI
7666,Best Western Of Walterboro,Walterboro,SC
7668,Hawthorn Suites By Wyndham Augusta,Augusta,GA
7669,Hampton Inn & Suites Warren,Warren,PA
7678,Best Western Plus Executive Inn,Saint Marys,PA
7679,Hartsville Motel,Hartsville,SC
7680,Super 8-Fernley,Fernley,NV
7682,El Pueblo Lodge,Taos,NM
7684,Budget Inn North Kingstown,North Kingstown,RI
7685,Grand Summit Hotel,Park City,UT
7686,Soho Grand Hotel,New York,NY
7688,Best Western Plus Nashville Airport Hotel,Nashville,TN
7690,The Bryant Park Hotel,New York,NY
7692,Inn at the 5th,Eugene,OR
7693,Hampton Inn Columbus/Taylorsville/Edinburgh,Edinburgh,IN
7695,Best Western Inn & Suites,Elkhart,IN
7697,National 9 Inn,Garden City,KS
7698,Fairfield Inn & Suites by Marriott Key West at The Keys Collection,Key West,FL
7735,Courtyard Seattle Downtown/Lake Union,Seattle,WA
7759,Hyatt House Seattle/Downtown,Seattle,WA
7968,French Market Inn,New Orleans,LA
8112,"The Westin Nanea Ocean Villas, Ka'anapali",Lahaina,HI
8164,Hilton Garden Inn Atlanta Midtown,Atlanta,GA
8192,Comfort Suites Michigan Avenue - Loop,Chicago,IL
8249,Jameson Inn Perry,Perry,GA
8251,La Quinta Inn & Suites Warner Robins - Robins AFB,Warner Robins,GA
8253,Hampton Inn Chicago Downtown/N Loop/Michigan Ave,Chicago,IL
8258,Hampton Inn Atlanta - Cumberland Mall / NW,Atlanta,GA
8282,Hampton Inn & Suites Atlanta - Downtown,Atlanta,GA
8323,DOR Cros Inn,Washington Island,WI
8324,Best Western Premier Miami International Airport Hotel Suites,Miami,FL
8337,Hampton Inn Suites Bremerton,Bremerton,WA
8344,Days Inn-Ames,Ames,IA
8346,Quality Inn at Collins Road,Cedar Rapids,IA
8348,Holiday Inn Express & Suites Des Moines Downtown,Des Moines,IA
8349,Days Inn-Milledgeville,Milledgeville,GA
8351,The London West Hollywood,West Hollywood,CA
8356,Fitzgerald Hotel,San Francisco,CA
8359,Grand Hyatt-Tampa Bay,Tampa,FL
8373,Four Points By Sheraton Jacksonville Baymeadows,Jacksonville,FL
8374,Buena Vista Palace,Orlando,FL
8390,Baymont By Wyndham Florida Mall,Orlando,FL
8407,Intown Suites Richmond South,Chester,VA
8408,Best Western El Grande Inn,Clearlake,CA
8410,Red Roof Inn,Grand Rapids,MI
8412,APPLE Inn,Dallas,TX
8414,Brick Lodge Atlanta/Norcross,Norcross,GA
8416,Kaanapali Alii,Lahaina,HI
8417,Hampton Inn Oxford-West,Oxford,MS
8418,Fairfield Inn Davenport,Davenport,IA
8419,PVC at The Roundhouse Resort,Pinetop,AZ
8420,New Orleans Inn,New Orleans,LA
8421,Git's Big Sky Motel,Columbus,MT
8422,Bunkhouse Motel,Medora,ND
8423,Comfort Suites-lexington,Lexington,SC
8424,Staybridge Suites Indianapolis-carmel,Indianapolis,IN
8428,Holiday Inn Express & Suites Mobile West - I-10,Mobile,AL
8434,Best Nights Inn,Sparta,WI
8435,Red Roof Inn Columbus-ohio State Fairgrounds,Columbus,OH
8436,Austin Motel,Austin,TX
8438,Comfort Suites-redmond Airport,Redmond,OR
8440,Days Inn-Jackson,Jackson,OH
8442,Home2 Suites by Hilton Clarksville/Ft. Campbell,Clarksville,TN
8443,Hampton Inn Owensboro South,Owensboro,KY
8445,Home-Towne Suites Clarksville,Clarksville,TN
8448,Hotel 7 Vienna,Vienna,IL
8449,Sleep Inn Suites,Idaho Falls,ID
8451,Red Roof Inn Suites Danville,Danville,IL
8452,Nauvoo Grand Bed Breakfast,Nauvoo,IL
8453,Hotel Nauvoo,Nauvoo,IL
8457,Wyndham Shearwater,Princeville,HI
8458,River Side Motel & Marina,Manistee,MI
8461,New Victorian Inn Suites Sioux City,Sioux City,IA
8464,Pomaika'i Lucky Farm BB,Captain Cook,HI
8466,Hilton Garden Inn Key West / The Keys Collection,Key West,FL
8468,Hampton Inn Suites Red Bluff,Red Bluff,CA
8469,McCloud Mercantile Hotel,McCloud,CA
8472,Golden Eagle Motel,Dorris,CA
8473,Mendocino Inn Spa,Little River,CA
8474,Ye Olde Danish Inn,Ferndale,CA
8475,Hampton Inn Suites Redding,Redding,CA
8476,Oxford Suites Redding,Redding,CA
8481,The House on Old Mill Road,Creede,CO
8482,Best Western Plus Carousel Inn Suites,Burlington,CO
8488,Savanna Inn & Suites,Savanna,IL
8490,Days Inn-Maui Oceanfront,Kīhei,HI
8491,Motel 6 Willows,Willows,CA
8493,Hilton Garden Inn Jonesboro,Jonesboro,AR
