,name,city,province
2381,Ashland Motel,Ashland,WI
2382,Beach Aire Motel,Kenosha,WI
2384,Hotel 414 Anaheim,Anaheim,CA
2386,Sheraton Gateway Los Angeles Hotel,Los Angeles,CA
2387,Best Western Plus Kingston Hotel and Conference Center,Kingston,NY
2388,Mayflower Park Hotel,Seattle,WA
2398,Four Points By Sheraton Downtown Seattle Center,Seattle,WA
2424,The Baroness Hotel,Seattle,WA
2425,Fossil Butte Motel,Kemmerer,WY
2426,Sage Motel,Greybull,WY
2427,Rawhide Motel,Lusk,WY
2428,Four Winds Motel,Douglas,WY
2429,Hampton Inn-rawlins,Rawlins,WY
2430,Ramada Limited Little Rock,Little Rock,AR
2432,Garden Place Suites,Sierra Vista,AZ
2433,Residence Inn by Marriott New York The Bronx at Metro Center Atrium,Bronx,NY
2434,Wingate By Wyndham Atlanta Galleria Center,Atlanta,GA
2513,Highland Inn,Atlanta,GA
2537,Kimpton Hotel Allegro,Chicago,IL
2607,Hyatt Place Chicago Downtown/The Loop,Chicago,IL
2677,Courtyard by Marriott Philadelphia Downtown,Philadelphia,PA
2693,Best Western Plus Concordville Hotel,Glen Mills,PA
2698,Homewood Suites by Hilton Macon-North,Macon,GA
2705,Quality Inn & Suites,Chattanooga,TN
2706,Sky Harbor Bavarian Inn,Chattanooga,TN
2707,Governors Inn,Tallahassee,FL
2712,Best Western Fort Lauderdale Airport/Cruise Port,Fort Lauderdale,FL
2719,Best Western Plus Universal Inn,Orlando,FL
2727,Comfort Inn & Suites,Lakeland,FL
2735,Stone Brook Resort,Estes Park,CO
2740,Ocean Villa Inn,San Diego,CA
2741,Best Western Plus Forest Park Inn,Gilroy,CA
2743,Courtyard By Marriott Gaithersburg Washingtonian Center,Gaithersburg,MD
2745,BEST WESTERN Canoga Park Motor Inn,Winnetka,CA
2749,Best Western Sandman Motel,Sacramento,CA
2751,Hotel Nikko San Francisco,San Francisco,CA
2767,Nob Hill Hotel,San Francisco,CA
2782,Buena Vista Motor Inn,San Francisco,CA
2795,Inn San Francisco,San Francisco,CA
2805,Hampton Inn Suites Chincoteague-waterfront,Chincoteague Island,VA
2828,Lighthouse Inn,Chincoteague Island,VA
2829,Fairfield Inn Suites Frederick,Frederick,MD
2831,Embassy Suites by Hilton Tuscaloosa Alabama Downtown,Tuscaloosa,AL
2832,French Quarter Suites Hotel,New Orleans,LA
2834,Toledo Town Inn,Many,LA
2835,Wyndham Garden Lafayette,Lafayette,LA
2836,Best Western Casino Inn,Vinton,LA
2837,Chateau Orleans,New Orleans,LA
2838,Bienville House,New Orleans,LA
2894,Value Host Motor Inn,Marquette,MI
2895,402 Hotel #Thebigo,Omaha,NE
2896,Best Western Plus Midwest Inn & Suites,Salina,KS
2902,Outrigger Reef Waikiki Beach Resort,Honolulu,HI
2907,Baymont Inn Suites Bowling Green,Bowling Green,KY
2908,Hampton Inn Philadelphia-International Airport,Philadelphia,PA
2952,Dover Garden Suite,Dover,DE
2953,Lollye On The Beach,Panama City,FL
2954,Lido Islander,Sarasota,FL
2956,Best Western Orlando Convention Center Hotel,Orlando,FL
2992,Comfort Inn Yosemite Area,Oakhurst,CA
2998,Best Western Executive Inn,Los Banos,CA
2999,Motel 6 Watsonville - Monterey Area,Watsonville,CA
3000,Audrey's Motel,Mound City,MO
3003,Hampton Inn Springfield-southeast,Springfield,MO
3005,Pantai Inn,La Jolla,CA
3029,Holiday Inn San Diego-Bayside,San Diego,CA
3041,Kimpton Solamar Hotel,San Diego,CA
3081,The Westin San Diego,San Diego,CA
3113,Lake View Resort,Sunrise Beach,MO
3120,Quality Inn Pittsburgh Airport,Oakdale,PA
3122,Knights Inn Enid,Enid,OK
3123,Days Inn-henryetta,Henryetta,OK
3124,Hilton Garden Inn Fayetteville,Fayetteville,AR
3125,Best Western Gardens Hotel at Joshua Tree National Park,Twentynine Palms,CA
3127,Apple Creek Cottages,Prescott,AZ
3129,Best Western Airport Inn,Phoenix,AZ
3130,Hilton Garden Inn Uniontown,Uniontown,PA
